                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.38212,                0.36559,                0.86831,                0.98925,                      1,                  0.995,                  0.995,                0.27955,                 0.2427,                0.79336,              0.0008252,              0.0008252,              0.0008252
                     91,                0.32704,                0.32607,                0.85969,                0.98873,                      1,                  0.995,                  0.995,                0.34294,                0.25453,                0.80004,               0.000812,               0.000812,               0.000812
                     92,                0.37089,                0.33854,                0.87579,                0.98919,                      1,                  0.995,                0.95778,                0.34788,                0.26317,                0.80265,              0.0007988,              0.0007988,              0.0007988
                     93,                0.37047,                0.34402,                0.89062,                0.98931,                      1,                  0.995,                0.95778,                0.34932,                0.26953,                0.80432,              0.0007856,              0.0007856,              0.0007856
                     94,                0.36391,                0.34997,                0.85078,                0.98923,                      1,                  0.995,                0.95775,                0.39418,                0.26272,                0.81237,              0.0007724,              0.0007724,              0.0007724
                     95,                0.36924,                0.34622,                0.86235,                0.98914,                      1,                  0.995,                0.93706,                0.39684,                0.27431,                 0.8139,              0.0007592,              0.0007592,              0.0007592
                     96,                0.37173,                0.33324,                0.87428,                0.98911,                      1,                  0.995,                0.94541,                0.36523,                0.24549,                0.81272,               0.000746,               0.000746,               0.000746
                     97,                0.33289,                0.33696,                0.85942,                0.98917,                      1,                  0.995,                0.93717,                0.34956,                0.22249,                0.80794,              0.0007328,              0.0007328,              0.0007328
                     98,                0.33221,                0.32352,                0.87824,                0.98937,                      1,                  0.995,                 0.9705,                0.31716,                0.24426,                0.79739,              0.0007196,              0.0007196,              0.0007196
                     99,                0.34685,                0.32677,                0.84902,                0.98943,                      1,                  0.995,                0.97049,                 0.2999,                0.23167,                0.79524,              0.0007064,              0.0007064,              0.0007064
                    100,                 0.3433,                0.32453,                0.87773,                0.98949,                      1,                  0.995,                0.94574,                0.32405,                0.22808,                0.79762,              0.0006932,              0.0006932,              0.0006932
                    101,                0.32092,                0.31243,                 0.8757,                0.98959,                      1,                  0.995,                0.94565,                0.36281,                0.24893,                0.80185,                0.00068,                0.00068,                0.00068
                    102,                0.36143,                0.33544,                0.87472,                0.98944,                      1,                  0.995,                0.96425,                0.31041,                0.21738,                0.79636,              0.0006668,              0.0006668,              0.0006668
                    103,                0.31134,                0.32238,                0.84999,                0.98936,                      1,                  0.995,                  0.995,                0.23587,                0.17227,                 0.7865,              0.0006536,              0.0006536,              0.0006536
                    104,                0.33045,                0.32335,                0.86175,                0.98944,                      1,                  0.995,                  0.995,                0.25353,                0.21239,                0.78633,              0.0006404,              0.0006404,              0.0006404
                    105,                0.35092,                0.31794,                0.87654,                0.98937,                      1,                  0.995,                0.97042,                0.28877,                0.19781,                0.78909,              0.0006272,              0.0006272,              0.0006272
                    106,                 0.3442,                 0.3353,                0.86652,                0.98909,                      1,                  0.995,                0.93311,                0.33785,                0.25768,                0.79603,               0.000614,               0.000614,               0.000614
                    107,                0.31076,                0.29371,                0.84535,                0.98911,                      1,                  0.995,                0.96424,                0.31395,                0.23237,                0.79407,              0.0006008,              0.0006008,              0.0006008
                    108,                0.31987,                0.32131,                0.84627,                0.98882,                      1,                  0.995,                  0.995,                0.27328,                0.21335,                0.79134,              0.0005876,              0.0005876,              0.0005876
                    109,                0.33676,                0.31813,                0.88017,                0.98787,                      1,                  0.995,                  0.995,                0.29521,                0.19651,                0.79464,              0.0005744,              0.0005744,              0.0005744
                    110,                0.33791,                0.32482,                0.88819,                0.98856,                      1,                  0.995,                0.93335,                0.36576,                0.22746,                0.80041,              0.0005612,              0.0005612,              0.0005612
                    111,                0.31508,                0.30199,                0.84361,                0.98866,                      1,                  0.995,                0.93341,                0.34877,                0.24669,                0.79827,               0.000548,               0.000548,               0.000548
                    112,                0.30152,                  0.314,                0.85519,                0.98848,                      1,                  0.995,                  0.995,                0.27201,                 0.2177,                0.78825,              0.0005348,              0.0005348,              0.0005348
                    113,                0.31737,                0.31729,                0.86959,                0.98795,                      1,                  0.995,                  0.995,                0.24691,                0.20387,                0.78554,              0.0005216,              0.0005216,              0.0005216
                    114,                0.27839,                0.28562,                0.82501,                0.98404,                      1,                  0.995,                  0.995,                0.25464,                0.22763,                0.78604,              0.0005084,              0.0005084,              0.0005084
                    115,                0.28177,                0.27441,                0.82432,                0.98412,                      1,                  0.995,                  0.995,                0.29154,                0.23046,                0.78998,              0.0004952,              0.0004952,              0.0004952
                    116,                0.28682,                0.28806,                0.86198,                0.98642,                      1,                  0.995,                0.97108,                0.34223,                0.25566,                0.79446,               0.000482,               0.000482,               0.000482
                    117,                0.29982,                0.28389,                0.85818,                0.98739,                      1,                  0.995,                0.97089,                0.33143,                0.26868,                0.79341,              0.0004688,              0.0004688,              0.0004688
                    118,                0.32493,                0.29645,                0.85547,                0.98779,                      1,                  0.995,                0.94586,                 0.3273,                 0.2565,                0.79323,              0.0004556,              0.0004556,              0.0004556
                    119,                0.32157,                0.30403,                0.86587,                 0.9879,                      1,                  0.995,                0.94582,                0.35032,                0.26995,                0.79372,              0.0004424,              0.0004424,              0.0004424
                    120,                0.30397,                0.29595,                 0.8404,                0.98857,                      1,                  0.995,                0.94572,                0.35777,                0.24693,                0.79471,              0.0004292,              0.0004292,              0.0004292
                    121,                 0.2707,                0.27224,                0.83252,                0.98889,                      1,                  0.995,                0.94575,                0.35543,                0.22952,                0.79508,               0.000416,               0.000416,               0.000416
                    122,                0.30589,                0.29762,                0.85547,                0.98912,                      1,                  0.995,                  0.995,                0.29152,                0.23083,                0.78825,              0.0004028,              0.0004028,              0.0004028
                    123,                0.25695,                 0.2864,                0.86145,                0.98887,                      1,                  0.995,                  0.995,                0.25727,                0.21666,                 0.7853,              0.0003896,              0.0003896,              0.0003896
                    124,                0.31805,                0.31166,                0.88867,                0.98944,                      1,                  0.995,                  0.995,                 0.2554,                0.20028,                0.78519,              0.0003764,              0.0003764,              0.0003764
                    125,                0.27699,                0.26924,                0.82095,                 0.9892,                      1,                  0.995,                  0.995,                0.25603,                0.18556,                0.78592,              0.0003632,              0.0003632,              0.0003632
                    126,                0.28194,                 0.2674,                0.83531,                0.98924,                      1,                  0.995,                0.96552,                0.25555,                0.19383,                0.78633,                0.00035,                0.00035,                0.00035
                    127,                0.31135,                0.28747,                0.87474,                0.98907,                      1,                  0.995,                0.96525,                0.28122,                0.19382,                0.78807,              0.0003368,              0.0003368,              0.0003368
                    128,                0.31529,                0.29153,                  0.851,                0.98938,                      1,                  0.995,                0.94712,                 0.3459,                0.21203,                0.79555,              0.0003236,              0.0003236,              0.0003236
                    129,                0.27019,                0.26491,                0.83979,                0.98938,                      1,                  0.995,                0.94696,                0.34745,                0.19885,                0.79621,              0.0003104,              0.0003104,              0.0003104
                    130,                0.28037,                0.26955,                0.83543,                0.98955,                      1,                  0.995,                 0.9713,                0.28978,                0.20282,                0.79021,              0.0002972,              0.0002972,              0.0002972
                    131,                0.28486,                0.27062,                0.86133,                0.98949,                      1,                  0.995,                 0.9713,                 0.2755,                0.19467,                0.78866,               0.000284,               0.000284,               0.000284
                    132,                0.27757,                0.27069,                0.84559,                0.98941,                      1,                  0.995,                0.97139,                0.27378,                0.18235,                0.78829,              0.0002708,              0.0002708,              0.0002708
                    133,                0.26157,                 0.2751,                0.83114,                 0.9895,                      1,                  0.995,                0.97139,                 0.2753,                0.18094,                0.78909,              0.0002576,              0.0002576,              0.0002576
                    134,                0.25907,                 0.2594,                0.84439,                 0.9892,                      1,                  0.995,                0.97139,                0.26551,                0.18131,                0.78693,              0.0002444,              0.0002444,              0.0002444
                    135,                0.27641,                0.25386,                0.84566,                0.98899,                      1,                  0.995,                  0.995,                0.26372,                 0.1756,                0.78677,              0.0002312,              0.0002312,              0.0002312
                    136,                0.27558,                 0.2616,                0.84287,                0.98948,                      1,                  0.995,                0.96538,                0.28364,                0.19227,                0.78696,               0.000218,               0.000218,               0.000218
                    137,                0.27867,                0.27736,                0.85339,                0.98918,                      1,                  0.995,                0.97163,                0.29114,                0.19474,                0.78749,              0.0002048,              0.0002048,              0.0002048
                    138,                0.24935,                 0.2685,                0.82759,                0.98934,                      1,                  0.995,                0.94712,                 0.2883,                0.17448,                 0.7886,              0.0001916,              0.0001916,              0.0001916
                    139,                0.28127,                 0.2816,                0.85915,                0.98948,                      1,                  0.995,                  0.995,                0.28992,                0.17528,                 0.7898,              0.0001784,              0.0001784,              0.0001784
                    140,                0.24649,                0.24239,                0.83463,                0.98938,                      1,                  0.995,                  0.995,                0.29124,                0.17157,                0.79001,              0.0001652,              0.0001652,              0.0001652
                    141,                0.24482,                0.26063,                0.81281,                 0.9893,                      1,                  0.995,                0.97186,                0.29193,                0.17145,                0.79011,               0.000152,               0.000152,               0.000152
                    142,                0.21172,                0.23557,                0.80665,                0.98935,                      1,                  0.995,                0.94743,                 0.3029,                0.16288,                0.79165,              0.0001388,              0.0001388,              0.0001388
                    143,                0.21326,                0.23964,                0.75395,                0.98956,                      1,                  0.995,                0.94743,                0.31315,                0.16806,                0.79212,              0.0001256,              0.0001256,              0.0001256
                    144,                0.20712,                0.23826,                0.79306,                0.98926,                      1,                  0.995,                0.94768,                0.32857,                0.18057,                 0.7938,              0.0001124,              0.0001124,              0.0001124
                    145,                0.21789,                 0.2305,                0.78256,                0.98931,                      1,                  0.995,                0.94732,                0.33236,                0.18442,                0.79381,               9.92e-05,               9.92e-05,               9.92e-05
                    146,                0.20684,                0.21796,                0.81057,                 0.9894,                      1,                  0.995,                0.94743,                0.32678,                0.17826,                0.79267,                8.6e-05,                8.6e-05,                8.6e-05
                    147,                0.20914,                0.22095,                0.81435,                0.98947,                      1,                  0.995,                0.94755,                0.32344,                0.17929,                0.79182,               7.28e-05,               7.28e-05,               7.28e-05
                    148,                0.19977,                0.23044,                0.77602,                0.98941,                      1,                  0.995,                0.94768,                0.30658,                0.16807,                0.79005,               5.96e-05,               5.96e-05,               5.96e-05
                    149,                 0.1875,                0.22442,                0.79006,                0.98938,                      1,                  0.995,                0.97217,                0.30188,                0.16746,                0.78936,               4.64e-05,               4.64e-05,               4.64e-05
                    150,                0.23406,                0.23885,                0.80361,                0.98946,                      1,                  0.995,                0.97217,                0.29363,                0.16684,                0.78804,               3.32e-05,               3.32e-05,               3.32e-05
